Nombre,Genero,Peso,Altura,Edad,Actividad Fisica,Ecuacion,Objetivos,Recomendacion,Calorias consumidas por dia,Carbohidratos,Proteinas,Lipidos,Desayuno,Almuerzo,Cena,Desayuno KCal,Almuerzo KCal,Cena KCal,Dia,Requerimiento (Kcal diarias)
"Alberto Vasquez,Hombre,133,159,46,3,Mifflin,Aumentar masa muscular,Hacer ejercicio,1889.0,217.7,196.4,60.8,""Quark, garlic, roast red pepper and onion dip"",Chicken biryani,Penne with Parma ham and spring vegetables,112,450,453,Lunes,2098.8"
Alberto Vasquez,Hombre,133,159,46,3,Mifflin,Aumentar masa muscular,Hacer ejercicio,1889.0,217.7,196.4,60.8,Spicy tofu scramble,Roasted Cauliflower,Fruity French toast,182,73,245,Martes,2098.8
Alberto Vasquez,Hombre,133,159,46,3,Mifflin,Aumentar masa muscular,Hacer ejercicio,1889.0,217.7,196.4,60.8,Pasta and vegetable cheese,Fish parcels,Grilled lemon and chilli chicken with couscous,424,314,346,Miércoles,2098.8
Alberto Vasquez,Hombre,133,159,46,3,Mifflin,Aumentar masa muscular,Hacer ejercicio,1889.0,217.7,196.4,60.8,Turkey and chickpea curry,Roasted garlic and mushroom soup,Roasted chicory and orange salad,447,172,60,Jueves,2098.8
Alberto Vasquez,Hombre,133,159,46,3,Mifflin,Aumentar masa muscular,Hacer ejercicio,1889.0,217.7,196.4,60.8,Pyaaj pakora baked battered onions,Caramelised leek quiche,Raspberry fruit spread,66,191,12,Viernes,2098.8
"Alberto Vasquez,Hombre,133,159,46,3,Mifflin,Aumentar masa muscular,Hacer ejercicio,1889.0,217.7,196.4,60.8,Beetroot hummus,""Stir-fried kale with chilli, ginger and garlic"",Orange fruit spread,72,38,16,Sábado,2098.8"
Alberto Vasquez,Hombre,133,159,46,3,Mifflin,Aumentar masa muscular,Hacer ejercicio,1889.0,217.7,196.4,60.8,Caramelised leek quiche,Fish pie,Lamb biryani,191,370,538,Domingo,2098.8
"Pedro Campos,Hombre,100,158,51,2,Mifflin,Mantener peso,Bajar carbohidratos,2361.4,266.7,68.1,59.6,Butterbean pâté,""Avocado, banana and cashew toast"",Beetroot hummus,121,316,72,Lunes,1737.5"
Pedro Campos,Hombre,100,158,51,2,Mifflin,Mantener peso,Bajar carbohidratos,2361.4,266.7,68.1,59.6,Keralan-style vegetable curry,Jerk chicken with chargrilled pineapple salsa,Greek-style chicken pittas,237,378,396,Martes,1737.5
Pedro Campos,Hombre,100,158,51,2,Mifflin,Mantener peso,Bajar carbohidratos,2361.4,266.7,68.1,59.6,Parsnip and apple soup,Wholemeal spinach and cheddar pancakes,Harira,236,219,308,Miércoles,1737.5
Pedro Campos,Hombre,100,158,51,2,Mifflin,Mantener peso,Bajar carbohidratos,2361.4,266.7,68.1,59.6,Cherry and chocolate dessert pot,Chilli bean soup with avocado salsa,Apricot porridge with toasted seeds,115,178,215,Jueves,1737.5
Pedro Campos,Hombre,100,158,51,2,Mifflin,Mantener peso,Bajar carbohidratos,2361.4,266.7,68.1,59.6,Slow-roasted garlic and herb tomatoes,Mackerel rundown,Harissa tomato tarts,107,302,260,Viernes,1737.5
Pedro Campos,Hombre,100,158,51,2,Mifflin,Mantener peso,Bajar carbohidratos,2361.4,266.7,68.1,59.6,Beetroot and carrot cake,Chicken noodles,Turkish cauliflower pizza with Quorn and tzatziki,157,430,296,Sábado,1737.5
Pedro Campos,Hombre,100,158,51,2,Mifflin,Mantener peso,Bajar carbohidratos,2361.4,266.7,68.1,59.6,Sag Aloo,Harissa tomato tarts,Cauliflower stir fry,245,260,228,Domingo,1737.5
"Laura Ramos,Mujer,77,158,46,2,Harris,Bajar de peso,Bajar carbohidratos,2869.8,151.7,157.5,74.3,Cheddar and leek pancakes,Rhubarb fool,""Butterbean, parsley and thyme stuffed mushrooms"",201,51,27,Lunes,1449.9"
Laura Ramos,Mujer,77,158,46,2,Harris,Bajar de peso,Bajar carbohidratos,2869.8,151.7,157.5,74.3,Barbecued fruit,Fish traybake with cauliflower and lentils,Roast turkey,75,317,243,Martes,1449.9
Laura Ramos,Mujer,77,158,46,2,Harris,Bajar de peso,Bajar carbohidratos,2869.8,151.7,157.5,74.3,Microwave mug: Cheesy chive and pea muffin,Microwave mug: Sesame salmon and broccoli,Mince pies,266,197,168,Miércoles,1449.9
"Laura Ramos,Mujer,77,158,46,2,Harris,Bajar de peso,Bajar carbohidratos,2869.8,151.7,157.5,74.3,Super soba noodles,Spaghetti carbonara,""Chicken, mushroom and tarragon pie"",400,412,435,Jueves,1449.9"
Laura Ramos,Mujer,77,158,46,2,Harris,Bajar de peso,Bajar carbohidratos,2869.8,151.7,157.5,74.3,Lamb dhansak,Chicken biryani,Kedgeree,417,450,555,Viernes,1449.9
Laura Ramos,Mujer,77,158,46,2,Harris,Bajar de peso,Bajar carbohidratos,2869.8,151.7,157.5,74.3,Breakfast eggs with avocado and black beans,Golden Soup,Smoked salmon and chive mini tartlets,375,63,59,Sábado,1449.9
Laura Ramos,Mujer,77,158,46,2,Harris,Bajar de peso,Bajar carbohidratos,2869.8,151.7,157.5,74.3,Murgh salun (chicken curry),Mixed bean chilli,Paprika roast roots,328,407,122,Domingo,1449.9
Gabriel Nunez,Hombre,145,201,19,2,Mifflin,Come HC en 10 min ,Bajar carbohidratos,2927.4,167.1,83.2,55.1,Brussels and hash with poached egg,Burritos,Seafood parcels,295,351,257,Lunes,2616.2
Gabriel Nunez,Hombre,145,201,19,2,Mifflin,Come HC en 10 min ,Bajar carbohidratos,2927.4,167.1,83.2,55.1,Brussels sprout gratin,Roast cod with creamy mushroom lentils,Mince pies,156,305,168,Martes,2616.2
Gabriel Nunez,Hombre,145,201,19,2,Mifflin,Come HC en 10 min ,Bajar carbohidratos,2927.4,167.1,83.2,55.1,Quinoa stuffed butternut squash,Lamb curry,Thai chicken stir fry,331,206,234,Miércoles,2616.2
Gabriel Nunez,Hombre,145,201,19,2,Mifflin,Come HC en 10 min ,Bajar carbohidratos,2927.4,167.1,83.2,55.1,Cod goujons,Chinese steamed trout,Vegetable satay,245,325,292,Jueves,2616.2
"Gabriel Nunez,Hombre,145,201,19,2,Mifflin,Come HC en 10 min ,Bajar carbohidratos,2927.4,167.1,83.2,55.1,""Tomato, olive, asparagus and bean salad"",One crust fruit pie,Pear and almond traybake,141,256,147,Viernes,2616.2"
Gabriel Nunez,Hombre,145,201,19,2,Mifflin,Come HC en 10 min ,Bajar carbohidratos,2927.4,167.1,83.2,55.1,Vietnamese crunchy peanut salad,2-ingredient pancakes ,Spinach and mushroom lasagne,459,343,287,Sábado,2616.2
Gabriel Nunez,Hombre,145,201,19,2,Mifflin,Come HC en 10 min ,Bajar carbohidratos,2927.4,167.1,83.2,55.1,Baked cauliflower with black beans and coconut,Gammon and pineapple stir fry,Caramelised onion moutabal,251,179,93,Domingo,2616.2
Maria Ramos,Mujer,78,184,65,3,Harris,Tomar la glicemia,Hacer ejercicio,2665.7,198.4,52.3,47.8,Apple and cinnamon cake,Pyaaj pakora baked battered onions,Pho,185,66,241,Lunes,1457.4
Maria Ramos,Mujer,78,184,65,3,Harris,Tomar la glicemia,Hacer ejercicio,2665.7,198.4,52.3,47.8,Smoky chicken kebabs,Lamb dhansak,Vegetable moussaka,205,417,168,Martes,1457.4
"Maria Ramos,Mujer,78,184,65,3,Harris,Tomar la glicemia,Hacer ejercicio,2665.7,198.4,52.3,47.8,Chargrilled fennel salad,Trout with citrus and basil sauce,""Pasta with aubergine, courgettes, ricotta and pine nuts"",85,166,432,Miércoles,1457.4"
Maria Ramos,Mujer,78,184,65,3,Harris,Tomar la glicemia,Hacer ejercicio,2665.7,198.4,52.3,47.8,Marinated chicken skewers with couscous,Salad nicoise,Baked sea bass and roasted red peppers,471,194,445,Jueves,1457.4
Maria Ramos,Mujer,78,184,65,3,Harris,Tomar la glicemia,Hacer ejercicio,2665.7,198.4,52.3,47.8,Very berry porridge,Baked pesto chicken with citrus couscous,Chicken in a pot,348,596,319,Viernes,1457.4
"Maria Ramos,Mujer,78,184,65,3,Harris,Tomar la glicemia,Hacer ejercicio,2665.7,198.4,52.3,47.8,""Courgette, feta and mint salad"",Moroccan-style chicken,One crust fruit pie,69,217,256,Sábado,1457.4"
Maria Ramos,Mujer,78,184,65,3,Harris,Tomar la glicemia,Hacer ejercicio,2665.7,198.4,52.3,47.8,Thai style noodles with gingered pork,Welsh Leek Rarebit,Tomato bagels,545,235,329,Domingo,1457.4
"Diana Romero,Mujer,45,176,64,2,Mifflin,Caminar,Aumentar proteinas,2705.5,159.1,178.8,37.4,Corn chowder with sweet potato croutons,""Haddock with salsa verde, broccoli and bean mash"",Fruity French toast,313,402,245,Lunes,1069.0"
Diana Romero,Mujer,45,176,64,2,Mifflin,Caminar,Aumentar proteinas,2705.5,159.1,178.8,37.4,Spicy potato wedges,Rainbow salad,Jelly treats,278,112,6,Martes,1069.0
Diana Romero,Mujer,45,176,64,2,Mifflin,Caminar,Aumentar proteinas,2705.5,159.1,178.8,37.4,Roasted vegetable pizza,Grilled lemon and chilli chicken with couscous,Asparagus frittata,333,346,176,Miércoles,1069.0
"Diana Romero,Mujer,45,176,64,2,Mifflin,Caminar,Aumentar proteinas,2705.5,159.1,178.8,37.4,""Chocolate, almond and berry cake"",Virgin mojito,Microwave mug: Cheesy chive and pea muffin,139,5,266,Jueves,1069.0"
Diana Romero,Mujer,45,176,64,2,Mifflin,Caminar,Aumentar proteinas,2705.5,159.1,178.8,37.4,Homemade vegetable crisps,Herby stuffed aubergines,Cod with tomato sauce,48,248,256,Viernes,1069.0
Diana Romero,Mujer,45,176,64,2,Mifflin,Caminar,Aumentar proteinas,2705.5,159.1,178.8,37.4,Beetroot hummus,Fish tea,Moroccan squash and aubergine tagine,72,241,182,Sábado,1069.0
"Diana Romero,Mujer,45,176,64,2,Mifflin,Caminar,Aumentar proteinas,2705.5,159.1,178.8,37.4,Lamb dhansak,""White bean, tuna and lemon salad"",Mulled apple juice,417,284,41,Domingo,1069.0"
Samuel Pena,Hombre,141,191,20,3,Mifflin,Aumentar masa muscular,Revisar grasas y azucares,2608.9,171.4,107.7,69.0,Galician stew with roasted butternut squash,Roasted red vegetables with ginger and garlic,Halloween biscuits,285,106,55,Lunes,2508.8
Samuel Pena,Hombre,141,191,20,3,Mifflin,Aumentar masa muscular,Revisar grasas y azucares,2608.9,171.4,107.7,69.0,Turkey and corn chowder,Breakfast burritos,Microwave mug: Apple and cinnamon fruity porridge,302,354,212,Martes,2508.8
"Samuel Pena,Hombre,141,191,20,3,Mifflin,Aumentar masa muscular,Revisar grasas y azucares,2608.9,171.4,107.7,69.0,""Butterbean, parsley and thyme stuffed mushrooms"",""Pork, barley and carrot casserole"",Patatas bravas,27,271,125,Miércoles,2508.8"
Samuel Pena,Hombre,141,191,20,3,Mifflin,Aumentar masa muscular,Revisar grasas y azucares,2608.9,171.4,107.7,69.0,Iced tea,Crunchy carrot and apple salad,Oriental beef stir-fry,0,89,214,Jueves,2508.8
Samuel Pena,Hombre,141,191,20,3,Mifflin,Aumentar masa muscular,Revisar grasas y azucares,2608.9,171.4,107.7,69.0,Mediterranean pasta salad,Thai style noodles with gingered pork,Baked pesto chicken with citrus couscous,422,545,596,Viernes,2508.8
Samuel Pena,Hombre,141,191,20,3,Mifflin,Aumentar masa muscular,Revisar grasas y azucares,2608.9,171.4,107.7,69.0,Caesar salad with chargrilled chicken,Salmon and spinach filo tarts,Andean-style quinoa,218,267,523,Sábado,2508.8
Samuel Pena,Hombre,141,191,20,3,Mifflin,Aumentar masa muscular,Revisar grasas y azucares,2608.9,171.4,107.7,69.0,Stuffed baby peppers,Beef stew and dumplings,Pad Thai,23,348,408,Domingo,2508.8
Andrea Perez,Mujer,58,185,58,3,Mifflin,Come HC en 10 min ,Hacer ejercicio,2215.0,154.2,123.9,85.2,Mexican tuna pâté,Shakshuka,Green summer soup,116,259,169,Lunes,1285.2
Andrea Perez,Mujer,58,185,58,3,Mifflin,Come HC en 10 min ,Hacer ejercicio,2215.0,154.2,123.9,85.2,Chicken and lentil curry,Beef goulash,Courgette enchiladas,332,372,300,Martes,1285.2
Andrea Perez,Mujer,58,185,58,3,Mifflin,Come HC en 10 min ,Hacer ejercicio,2215.0,154.2,123.9,85.2,Mushroom and spring onion omelette,Gado gado,Caramelised leek quiche,251,370,191,Miércoles,1285.2
"Andrea Perez,Mujer,58,185,58,3,Mifflin,Come HC en 10 min ,Hacer ejercicio,2215.0,154.2,123.9,85.2,""Pork chops with roasted pear, apple and new potatoes"",Rosemary baked onions,Minced beef and vegetable filo pie,386,113,316,Jueves,1285.2"
Andrea Perez,Mujer,58,185,58,3,Mifflin,Come HC en 10 min ,Hacer ejercicio,2215.0,154.2,123.9,85.2,Jollof rice and chicken,Beetroot hummus,Vegetarian shepherd’s pie with sweet potato mash,377,72,229,Viernes,1285.2
Andrea Perez,Mujer,58,185,58,3,Mifflin,Come HC en 10 min ,Hacer ejercicio,2215.0,154.2,123.9,85.2,Spicy roasted chickpeas,Sweet pepper pancakes with tangy tomato relish,Apple Charlotte,79,39,165,Sábado,1285.2
Andrea Perez,Mujer,58,185,58,3,Mifflin,Come HC en 10 min ,Hacer ejercicio,2215.0,154.2,123.9,85.2,Seafood parcels,Spinach and Wensleydale stuffed portobello mushroom,Lamb provençal,257,289,253,Domingo,1285.2
